"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Security Operations,OPS-04,Security Operations Center (SOC),OPS-04,Mechanisms exist to establish and maintain a Security Operations Center (SOC) that facilitates a 24x7 response capability.,10,All Users,Basic,Protect,,,,,,,x,,x,x,x,,,,,x,,,x,x,x,x,x,x,x,,x,x,,x,x,x,
Security Awareness & Training ,SAT-01,Security & Privacy-Minded Workforce ,SAT-01,Mechanisms exist to facilitate the implementation of security workforce development and awareness controls. ,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security Awareness & Training ,SAT-02,Security & Privacy Awareness ,SAT-02,Mechanisms exist to provide all employees and contractors appropriate awareness education and training that is relevant for their job function. ,3,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security Awareness & Training ,SAT-02(a),Practical Exercises ,SAT-02.1,Mechanisms exist to simulate actual cyber-attacks through practical exercises that are aligned with current threat scenarios are included in training.,5,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Security Awareness & Training ,SAT-02(b),Social Engineering & Mining,SAT-02.2,Mechanisms exist to include awareness training on recognizing and reporting potential and actual instances of social engineering and social mining.,10,All Users,Basic,Protect,,,,,,,,x,,x,x,x,x,x,x,x,,,x,,x,x,x,x,,x,,,,x,x,x,
Security Awareness & Training ,SAT-03,Security & Privacy Training ,SAT-03,"Mechanisms exist to provide role-based security-related training: 
 ▪ Before authorizing access to the system or performing assigned duties; 
 ▪ When required by system changes; and 
 ▪ Annually thereafter.",3,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security Awareness & Training ,SAT-03(a),Practical Exercises ,SAT-03.1,Mechanisms exist to include practical exercises in security and privacy training that reinforce training objectives.,10,All Users,Basic,Protect,,,,,,,,x,,x,x,x,x,x,x,x,,,x,,x,x,x,x,,x,,,,x,x,x,
Security Awareness & Training ,SAT-03(b),Suspicious Communications & Anomalous System Behavior,SAT-03.2,Mechanisms exist to provide training to personnel on organization-defined indicators of malware to recognize suspicious communications and anomalous behavior.,10,All Users,Basic,Protect,,,,,,,,x,,x,x,x,x,x,x,x,,,x,,x,x,x,x,,x,,,,x,x,x,
Security Awareness & Training ,SAT-03(c),"Sensitive Information Storage, Handling & Processing",SAT-03.3,"Mechanisms exist to ensure that every user accessing a system processing, storing or transmitting sensitive information is formally trained in data handling requirements.",7,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security Awareness & Training ,SAT-03(d),Vendor Security & Privacy Training,SAT-03.4,Mechanisms exist to incorporate vendor-specific security training in support of new technology initiatives. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security Awareness & Training ,SAT-03(e),Privileged Users,SAT-03.5,Mechanisms exist to provides specific training for privileged users to ensure privileged users understand their unique roles and responsibilities ,9,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Security Awareness & Training ,SAT-04,Security & Privacy Training Records ,SAT-04,"Mechanisms exist to document, retain and monitor individual training activities, including basic security awareness training, ongoing awareness training and specific-system training.",10,All Users,Basic,Protect,,,,,,,,,,,,x,x,x,x,x,,,x,,x,x,x,x,,,,,,,,,
Technology Development & Acquisition,TDA-01,Technology Development & Acquisition,TDA-01,"Mechanisms exist to facilitate the implementation of tailored development and acquisition strategies, contract tools and procurement methods to meet unique business needs.",10,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Technology Development & Acquisition,TDA-01(a),Product Management,TDA-01.1,Mechanisms exist to design and implement processes to update product software to correct security deficiencies.,5,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Technology Development & Acquisition,TDA-01(b),Integrity Mechanisms for Software / Firmware Updates ,TDA-01.2,Mechanisms exist to utilize integrity validation mechanisms for security updates.,9,Management,Basic,Protect,x,,x,x,,,x,x,,x,,,,,,,x,x,x,x,x,x,x,x,,,,,,,x,,
Technology Development & Acquisition,TDA-01(c),Malware Testing Prior to Release ,TDA-01.3,Mechanisms exist to utilize at least one (1) malware detection tool to identify if any known malware exists in the final binaries of the product or security update.,10,All Users,Basic,Protect,x,,x,x,,,x,x,,x,,,,,,,x,x,x,x,x,x,x,x,,,,,,,x,,
Technology Development & Acquisition,TDA-02,Security Requirements ,TDA-02,"Mechanisms exist to include technical and functional specifications, explicitly or by reference, in system acquisitions based on an assessment of risk.",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Technology Development & Acquisition,TDA-02(a),"Ports, Protocols & Services In Use",TDA-02.1,"Mechanisms exist to require the developers of systems, system components or services to identify early in the Secure Development Life Cycle (SDLC), the functions, ports, protocols and services intended for use. ",2,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Technology Development & Acquisition,TDA-02(b),Use of Approved PIV Products,TDA-02.2,Mechanisms exist to utilize only information technology products on the Federal Information Processing Standards (FIPS) 201-approved products list for Personal Identity Verification (PIV) capability implemented within organizational systems. ,5,Management,Enhanced,Identify,,,,,,,,,,,,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Technology Development & Acquisition,TDA-02(c),"Development Methods, Techniques & Processes",TDA-02.3,"Mechanisms exist to require software vendors/manufacturers to demonstrate that their software development processes employ industry-recognized secure practices for secure programming, engineering methods, quality control processes and validation techniques to minimize flawed or malformed software.",5,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Technology Development & Acquisition,TDA-03,Commercial Off-The-Shelf (COTS) Security Solutions ,TDA-03,Mechanisms exist to utilize only Commercial Off-the-Shelf (COTS) security products. ,3,Management,Enhanced,Protect,,,,,,,,,,,,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Technology Development & Acquisition,TDA-03(a),Supplier Diversity,TDA-03.1,Mechanisms exist to obtain security and privacy technologies from different suppliers to minimize supply chain risk.,10,All Users,Basic,Protect,,,,,,,,,,,,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Technology Development & Acquisition,TDA-04,Documentation Requirements,TDA-04,"Mechanisms exist to obtain, protect and distribute administrator documentation for systems that describe:
 ▪ Secure configuration, installation and operation of the system;
 ▪ Effective use and maintenance of security features/functions; and
 ▪ Known vulnerabilities regarding configuration and use of administrative (e.g., privileged) functions.",10,Technical,Basic,Protect,,,,,,,,,,,,x,x,x,x,x,,,x,x,x,x,,,,,,,x,,x,,
Technology Development & Acquisition,TDA-04(a),Functional Properties ,TDA-04.1,"Mechanisms exist to require vendors/contractors to provide information describing the functional properties of the security controls to be utilized within systems, system components or services in sufficient detail to permit analysis and testing of the controls. ",10,Technical,Basic,Protect,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,,x,x,x,x,x,,
Technology Development & Acquisition,TDA-05,Developer Architecture & Design ,TDA-05,"Mechanisms exist to require the developers of systems, system components or services to produce a design specification and security architecture that: 
 ▪ Is consistent with and supportive of the organization’s security architecture which is established within and is an integrated part of the organization’s enterprise architecture;
 ▪ Accurately and completely describes the required security functionality and the allocation of security controls among physical and logical components; and
 ▪ Expresses how individual security functions, mechanisms and services work together to provide required security capabilities and a unified approach to protection.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Technology Development & Acquisition,TDA-06,Secure Coding ,TDA-06,Mechanisms exist to develop applications based on secure coding principles. ,10,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Technology Development & Acquisition,TDA-06(a),Criticality Analysis,TDA-06.1,"Mechanisms exist to require the developer of the system, system component or service to perform a criticality analysis at organization-defined decision points in the Secure Development Life Cycle (SDLC).",10,All Users,Basic,Protect,,,,,x,x,x,x,,,,x,x,x,x,x,,,x,x,x,x,,,,,,x,x,x,x,,
Technology Development & Acquisition,TDA-07,Secure Development Environments ,TDA-07,Mechanisms exist to maintain a segmented development network to ensure a secure development environment. ,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Technology Development & Acquisition,TDA-08,"Separation of Development, Testing and Operational Environments ",TDA-08,"Mechanisms exist to manage separate development, testing and operational environments to reduce the risks of unauthorized access or changes to the operational environment and to ensure no impact to production systems.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Technology Development & Acquisition,TDA-09,Security & Privacy Testing Throughout Development ,TDA-09,"Mechanisms exist to require system developers/integrators consult with cybersecurity and privacy personnel to: 
 ▪ Create and implement a Security Test and Evaluation (ST&E) plan;
 ▪ Implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the security testing and evaluation process; and
 ▪ Document the results of the security testing/evaluation and flaw remediation processes.",9,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,,
Technology Development & Acquisition,TDA-09(a),Continuous Monitoring Plan,TDA-09.1,"Mechanisms exist to require the developers systems, system components or services to produce a plan for the continuous monitoring of security & privacy control effectiveness. ",9,Technical,Enhanced,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,,
Technology Development & Acquisition,TDA-09(b),Static Code Analysis,TDA-09.2,"Mechanisms exist to require the developers of systems, system components or services to employ static code analysis tools to identify and remediate common flaws and document the results of the analysis. ",10,Technical,Enhanced,Detect,,,x,x,,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,,
Technology Development & Acquisition,TDA-09(c),Dynamic Code Analysis ,TDA-09.3,"Mechanisms exist to require the developers of systems, system components or services to employ dynamic code analysis tools to identify and remediate common flaws and document the results of the analysis. ",7,Technical,Enhanced,Detect,,,x,x,,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,,
Technology Development & Acquisition,TDA-09(d),Malformed Input Testing,TDA-09.4,"Mechanisms exist to utilize testing methods to ensure systems, services and products continue to operate as intended when subject to invalid or unexpected inputs on its interfaces.",9,Technical,Enhanced,Detect,,,x,x,,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,,
Technology Development & Acquisition,TDA-09(e),Application Penetration Testing,TDA-09.5,Mechanisms exist to perform application-level penetration testing of custom-made applications and services.,10,All Users,Basic,Protect,,,x,x,,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,,
Technology Development & Acquisition,TDA-10,Use of Live Data ,TDA-10,"Mechanisms exist to approve, document and control the use of live data in development and test environments.",8,Technical,Enhanced,Protect,,,,x,,x,,x,,,,x,x,x,x,x,,,x,x,x,x,x,x,,,,,,,x,x,
Technology Development & Acquisition,TDA-10(a),Test Data Integrity,TDA-10.1,Mechanisms exist to ensure the integrity of test data through existing security & privacy controls.,9,Management,Enhanced,Protect,,,,,,x,,x,,,,x,x,x,x,x,,,x,x,x,x,x,x,,,,,,,x,x,
Technology Development & Acquisition,TDA-11,Component Authenticity ,TDA-11,Mechanisms exist to govern component authenticity by developing and implementing anti-counterfeit procedures that include the means to detect and prevent counterfeit components.,6,Management,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Technology Development & Acquisition,TDA-11(a),Anti-Counterfeit Training,TDA-11.1,"Mechanisms exist to train personnel to detect counterfeit system components, including hardware, software and firmware. ",9,Management,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Technology Development & Acquisition,TDA-11(b),Component Disposal,TDA-11.2,Mechanisms exist to dispose of system components using organization-defined techniques and methods to prevent such components from entering the gray market.,8,Management,Enhanced,Protect,,,,x,,,,x,,,x,x,x,x,x,x,,,x,x,x,x,x,x,,,x,,,x,,,
Technology Development & Acquisition,TDA-12,Customized Development of Critical Components ,TDA-12,"Mechanisms exist to custom-develop critical system components, when COTS solutions are unavailable.",9,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Technology Development & Acquisition,TDA-13,Developer Screening ,TDA-13,"Mechanisms exist to require the developers of systems, system components or services to satisfy personnel screening criteria and have appropriate access authorizations, as necessary.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Technology Development & Acquisition,TDA-14,Developer Configuration Management ,TDA-14,"Mechanisms exist to require system developers and integrators to perform configuration management during system design, development, implementation and operation.",8,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Technology Development & Acquisition,TDA-14(a),Software / Firmware Integrity Verification,TDA-14.1,"Mechanisms exist to require developer of systems, system components or services to enable integrity verification of software and firmware components. ",9,Management,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Technology Development & Acquisition,TDA-15,Developer Threat Analysis & Flaw Remediation,TDA-15,Mechanisms exist to require system developers and integrators to create a Security Test and Evaluation (ST&E) plan and implement the plan under the witness of an independent party. ,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Technology Development & Acquisition,TDA-16,Developer-Provided Training ,TDA-16,"Mechanisms exist to require the developers of systems, system components or services to provide training on the correct use and operation of the system, system component or service.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Technology Development & Acquisition,TDA-17,Unsupported Systems ,TDA-17,"Mechanisms exist to prevent unsupported systems by:
 ▪ Replacing systems when support for the components is no longer available from the developer, vendor or manufacturer; and
 ▪ Requiring justification and documented approval for the continued use of unsupported system components required to satisfy mission/business needs.",8,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Technology Development & Acquisition,TDA-17(a),Alternate Sources for Continued Support,TDA-17.1,Mechanisms exist to provide in-house support or contract external providers for support with unsupported system components. ,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Technology Development & Acquisition,TDA-18,Input Data Validation ,TDA-18,Mechanisms exist to check the validity of information inputs. ,9,Technical,Basic,Protect,,,x,x,,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,,
Technology Development & Acquisition,TDA-19,Error Handling ,TDA-19,"Mechanisms exist to handle error conditions by: 
 ▪ Identifying potentially security-relevant error conditions;
 ▪ Generating error messages that provide information necessary for corrective actions without revealing sensitive or potentially harmful information in error logs and administrative messages that could be exploited; and
 ▪ Revealing error messages only to authorized personnel.",9,Technical,Basic,Protect,,,x,x,,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,x,,
